chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getClassPath,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setClassPath,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getClassName,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setClassName,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getMethodName,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setMethodName,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getCountLineOfCode,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setCountLineOfCode,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getCountLineOfComment,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setCountLineOfComment,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getDensity,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setDensity,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getCyclomaticComplexity,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setCyclomaticComplexity,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,getMethodBc,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,setMethodBc,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,toString,10,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/MethodCountData.java,MethodCountData,compareTo,7,3,0.42857143,1,0.42857143
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/ClassCountData.java,ClassCountData,getCountLineOfCode,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/ClassCountData.java,ClassCountData,setCountLineOfCode,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/ClassCountData.java,ClassCountData,getCountLineOfComment,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/ClassCountData.java,ClassCountData,setCountLineOfComment,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/ClassCountData.java,ClassCountData,getClassName,3,0,0.0,1,0.0
/Users/hojunhwang/Documents/udem/IFT3913/homework/src/ClassCountData.java,ClassCountData,setClassName,3,0,0.0,1,0.0
